Data do snapshot,Artista,Plataforma,Handle,Seguidores/Inscritos,Total de posts,Likes totais,Origem
2026-08-18,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-18,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-18,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-18,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-18,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-18,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-18,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-18,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-18,Kysha e Mine,TikTok,kyshaeminee,263100,466,1700000,medido
2026-08-18,Kysha,TikTok,oikysha,6500000,1511,131700000,medido
2026-08-18,Mine,TikTok,aminequerida_,2500000,1047,39300000,medido
2026-08-18,Evy Baddie,TikTok,evybaddiee,578900,1208,10400000,medido
2026-08-18,Fidelisx,TikTok,oifidelisx,525400,1386,15700000,medido
2026-08-18,Russin Oficial,TikTok,orussindomolejo,948300,1310,35800000,medido
2026-08-18,Argentino,TikTok,oiargentino_,341400,1047,6500000,medido
2026-08-18,Kaka,TikTok,oiikaka__,151000,603,1700000,medido
2026-08-18,Casa Saturno,TikTok,acasasaturno,266400,1211,3900000,medido
2026-08-18,Mine,Instagram,aminequerida,1424245,1155,,medido
2026-08-18,Fidelisx,Instagram,oifidelisx,666855,254,,medido
2026-08-18,Russin Oficial,Instagram,russinmolejo,571365,1265,,medido
2026-08-18,Argentino,Instagram,oiargentino,339739,83,,medido
2026-08-18,Kaka,Instagram,reservaoikaka,8082,17,,medido
2026-08-18,Evy Baddie,Instagram,evybaddiee,277664,723,,medido
2026-08-18,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-18,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-19,Kysha e Mine,TikTok,kyshaeminee,263200,467,1700000,medido
2026-08-19,Kysha,TikTok,oikysha,6500000,1512,131700000,medido
2026-08-19,Mine,TikTok,aminequerida_,2500000,1047,39300000,medido
2026-08-19,Evy Baddie,TikTok,evybaddiee,579000,1208,10400000,medido
2026-08-19,Fidelisx,TikTok,oifidelisx,525800,1386,15700000,medido
2026-08-19,Russin Oficial,TikTok,orussindomolejo,948200,1312,35900000,medido
2026-08-19,Argentino,TikTok,oiargentino_,341400,1047,6500000,medido
2026-08-19,Kaka,TikTok,oiikaka__,151000,603,1700000,medido
2026-08-19,Casa Saturno,TikTok,acasasaturno,266500,1215,3900000,medido
2026-08-19,Mine,Instagram,aminequerida,1423700,1155,,medido
2026-08-19,Fidelisx,Instagram,oifidelisx,666557,254,,medido
2026-08-19,Russin Oficial,Instagram,russinmolejo,570966,1266,,medido
2026-08-19,Argentino,Instagram,oiargentino,339637,83,,medido
2026-08-19,Kaka,Instagram,reservaoikaka,8282,19,,medido
2026-08-19,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-19,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-19,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-19,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-19,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-19,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-19,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-19,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-19,Evy Baddie,Instagram,evybaddiee,277664,723,,medido
2026-08-19,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-19,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-20,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,medido
2026-08-20,Kysha,TikTok,oikysha,6500000,1512,131700000,medido
2026-08-20,Mine,TikTok,aminequerida_,2500000,1048,39300000,medido
2026-08-20,Evy Baddie,TikTok,evybaddiee,579100,1208,10400000,medido
2026-08-20,Fidelisx,TikTok,oifidelisx,525900,1386,15700000,medido
2026-08-20,Russin Oficial,TikTok,orussindomolejo,948200,1313,35900000,medido
2026-08-20,Argentino,TikTok,oiargentino_,341400,1047,6500000,medido
2026-08-20,Kaka,TikTok,oiikaka__,151000,603,1700000,medido
2026-08-20,Casa Saturno,TikTok,acasasaturno,266500,1215,3900000,medido
2026-08-20,Mine,Instagram,aminequerida,1423104,1155,,medido
2026-08-20,Fidelisx,Instagram,oifidelisx,666157,254,,medido
2026-08-20,Russin Oficial,Instagram,russinmolejo,570797,1266,,medido
2026-08-20,Argentino,Instagram,oiargentino,339521,83,,medido
2026-08-20,Kaka,Instagram,reservaoikaka,8398,19,,medido
2026-08-20,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-20,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-20,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-20,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-20,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-20,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-20,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-20,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-20,Evy Baddie,Instagram,evybaddiee,277664,723,,medido
2026-08-20,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-20,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-21,Mine,TikTok,aminequerida_,2500000,1050,39300000,medido
2026-08-21,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,medido
2026-08-21,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,medido
2026-08-21,Argentino,TikTok,oiargentino_,341500,1047,6500000,medido
2026-08-21,Kaka,TikTok,oiikaka__,151000,603,1700000,medido
2026-08-21,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,medido
2026-08-21,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,medido
2026-08-21,Mine,Instagram,aminequerida,1422790,1156,,medido
2026-08-21,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,medido
2026-08-21,Kysha,TikTok,oikysha,6500000,1512,131700000,medido
2026-08-21,Fidelisx,Instagram,oifidelisx,666157,254,,medido
2026-08-21,Russin Oficial,Instagram,russinmolejo,570797,1266,,medido
2026-08-21,Argentino,Instagram,oiargentino,339521,83,,medido
2026-08-21,Kaka,Instagram,reservaoikaka,8398,19,,medido
2026-08-21,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-21,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-21,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-21,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-21,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-21,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-21,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-21,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-21,Evy Baddie,Instagram,evybaddiee,277664,723,,medido
2026-08-21,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-21,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-24,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-24,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-24,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-24,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-24,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-24,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-24,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-24,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-24,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-24,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-24,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-24,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-24,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-08-24,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-08-24,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-08-24,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-08-24,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,carry
2026-08-24,Mine,Instagram,aminequerida,1422790,1156,,carry
2026-08-24,Fidelisx,Instagram,oifidelisx,666157,254,,carry
2026-08-24,Russin Oficial,Instagram,russinmolejo,570797,1266,,carry
2026-08-24,Argentino,Instagram,oiargentino,339521,83,,carry
2026-08-24,Kaka,Instagram,reservaoikaka,8398,19,,carry
2026-08-24,Evy Baddie,Instagram,evybaddiee,277664,723,,carry
2026-08-24,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-24,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-25,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-25,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-25,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-25,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-25,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-25,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-25,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-25,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-25,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-25,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-25,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-25,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-25,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-08-25,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-08-25,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-08-25,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-08-25,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,carry
2026-08-25,Mine,Instagram,aminequerida,1422790,1156,,carry
2026-08-25,Fidelisx,Instagram,oifidelisx,666157,254,,carry
2026-08-25,Russin Oficial,Instagram,russinmolejo,570797,1266,,carry
2026-08-25,Argentino,Instagram,oiargentino,339521,83,,carry
2026-08-25,Kaka,Instagram,reservaoikaka,8398,19,,carry
2026-08-25,Evy Baddie,Instagram,evybaddiee,277664,723,,carry
2026-08-25,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-25,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-26,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-26,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-26,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-26,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-26,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-26,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-26,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-26,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-26,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-26,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-26,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-26,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-26,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
