Data-hora da leitura,Plataforma,ID do post,Artista,Views,Likes,Comentários
2026-08-18 14:00,YouTube,D_UwyI4vBls,Russin Oficial,496,15,
2026-08-18 14:00,YouTube,8o_l3sREpeU,Evy Baddie,894,162,
2026-08-18 14:00,YouTube,jv_Rn_EmYZM,Fidelisx,1563,249,
2026-08-18 14:00,Instagram,DcL4deSPcOl,Kaka,3178,379,104
2026-08-18 14:00,YouTube,DvBN7Cy7uRg,Casa Saturno,1253,225,
2026-08-18 14:00,Instagram,DcLs0WNivII,Casa Saturno,4615,289,14
2026-08-18 14:00,YouTube,Y1uE8TO8zPY,Casa Saturno,,28,
2026-08-18 14:00,YouTube,M6YdKfdLaFI,Casa Saturno,1046,219,
2026-08-18 14:00,Instagram,DcLmCMOFjyC,Casa Saturno,2691,243,14
2026-08-18 14:00,YouTube,0GVzwMr3icI,Kaka,1487,213,
2026-08-18 14:00,YouTube,r9x_b_0CA4A,Casa Saturno,1188,222,
2026-08-18 14:00,Instagram,DcLfUYmjsCM,Casa Saturno,4486,327,24
2026-08-18 14:00,YouTube,1b8CDw8gdkA,Kysha e Mine,4442,1016,
2026-08-18 14:00,YouTube,vAKMqHPk8cw,Russin Oficial,4343,157,
2026-08-18 14:00,Instagram,DcKAZgdpBk-,Russin Oficial,6009,289,20
2026-08-18 14:00,YouTube,OkgaDUy9ZME,Kysha e Mine,16659,1202,
2026-08-18 14:00,YouTube,xF9LdQAbJ3s,Evy Baddie,4723,662,
2026-08-18 14:00,YouTube,2DUaa5fwYTA,Fidelisx,34726,2105,
2026-08-18 14:00,Instagram,DcJ9CuMhfO5,Evy Baddie,11031,774,82
2026-08-18 14:00,YouTube,p5BGX0yTgpU,Evy Baddie,3337,668,
2026-08-18 14:00,YouTube,n_oJwKiUY9I,Fidelisx,19152,1788,
2026-08-18 14:00,Instagram,DcJoFtfpRqN,Kaka,60282,1996,57
2026-08-18 14:00,YouTube,PKd4d8mIXC0,Russin Oficial,2233,181,
2026-08-18 14:00,YouTube,OaS_R3DunUw,Fidelisx,142522,7222,
2026-08-18 14:00,Instagram,DcJT1y1hSxi,Kysha e Mine,81042,5354,152
2026-08-18 14:00,Instagram,DcJT1y1hSxi,Casa Saturno,81042,5354,152
2026-08-18 14:00,YouTube,hgOuaj2tqRE,Casa Saturno,16460,1435,
2026-08-18 14:00,Instagram,DcJIELDDW_X,Casa Saturno,7435,432,22
2026-08-18 14:00,YouTube,iKXSdL3AOzU,Evy Baddie,2321,402,
2026-08-18 14:00,YouTube,XGpTJW4QjrQ,Casa Saturno,5820,846,
2026-08-18 14:00,Instagram,DcJCqd-iuw2,Kysha e Mine,32578,1014,54
2026-08-18 14:00,Instagram,DcJBV9EAc2M,Casa Saturno,18598,906,22
2026-08-18 14:00,YouTube,-UWOuDozZHw,Casa Saturno,11529,1253,
2026-08-18 14:00,Instagram,DcI6e6slW1v,Casa Saturno,8364,734,48
2026-08-18 14:00,Instagram,DcH4lBLRxTR,Russin Oficial,170317,1600,101
2026-08-18 14:00,YouTube,y7sXFTztGi0,Evy Baddie,8667,1107,
2026-08-18 14:00,Instagram,DcHihQJhl_v,Evy Baddie,25735,1381,251
2026-08-18 14:00,YouTube,qXIs94lohNI,Fidelisx,178186,4418,
2026-08-18 14:00,YouTube,Kj3wWD8I_EY,Kaka,1203,144,
2026-08-18 14:00,YouTube,ar4axizjGuM,Kysha e Mine,29299,2805,
2026-08-18 14:00,Instagram,DcHJ6-1uSCc,Kysha e Mine,26064,998,57
2026-08-18 14:00,YouTube,EA1HYgbFlsI,Fidelisx,66411,3261,
2026-08-18 14:00,YouTube,rvIf4f4dc0k,Casa Saturno,5184,774,
2026-08-18 14:00,Instagram,DcG4lWjx6j8,Casa Saturno,16936,828,49
2026-08-18 14:00,YouTube,8vErlX7qpvY,Russin Oficial,15734,755,
2026-08-18 14:00,Instagram,DcGuVDPuelA,Kysha e Mine,50373,1437,21
2026-08-18 14:00,YouTube,pn5gromSPlU,Kaka,24485,1151,
2026-08-18 14:00,YouTube,JQHTYVpMQ-M,Fidelisx,37976,2544,
2026-08-18 14:00,Instagram,DcGuqsfvD-L,Kaka,10648,873,44
2026-08-18 14:00,Instagram,DcGtC5Ku93Q,Kysha,29764,1895,266
2026-08-18 14:00,YouTube,R6uItkq3JhA,Kaka,23460,1223,
2026-08-18 14:00,Instagram,DcGhiJ3CGct,Casa Saturno,12614,674,51
2026-08-18 14:00,YouTube,BBRGZgeHG8w,Casa Saturno,16621,1271,
2026-08-18 14:00,YouTube,gGeOcLafvyM,Kysha e Mine,65362,3167,
2026-08-18 14:00,Instagram,DcGfWxhOq7y,Kysha e Mine,51491,3145,59
2026-08-18 14:00,Instagram,DcFUDJexNk7,Mine,260040,11544,678
2026-08-18 14:00,YouTube,IZDizzmXFnE,Kysha e Mine,19222,2176,
2026-08-18 14:00,YouTube,FgfJN5_p5n4,Russin Oficial,1413,124,
2026-08-18 14:00,Instagram,DcE7hBqp8Ny,Russin Oficial,88658,3668,65
2026-08-18 14:00,YouTube,EXWS8LiNb2o,Evy Baddie,33553,2783,
2026-08-18 14:00,YouTube,FTlbZlgOsRk,Evy Baddie,8103,1057,
2026-08-18 14:00,YouTube,BS0WAfijiUw,Russin Oficial,3903,464,
2026-08-18 14:00,Instagram,DcE19DcOXyy,Kysha,57147,2231,96
2026-08-18 14:00,YouTube,zeospHwGVSc,Casa Saturno,20645,1338,
2026-08-18 14:00,YouTube,gGZ_ggNMst4,Evy Baddie,6663,1331,
2026-08-18 14:00,YouTube,dUuD7guxc1w,Kysha e Mine,39875,2277,
2026-08-18 14:00,YouTube,nHVVaXAkNjg,Fidelisx,15181,1890,
2026-08-18 14:00,Instagram,DcEWwDSkSEA,Fidelisx,,4174,160
2026-08-18 14:00,Instagram,DcEUVs4OogP,Argentino,33093,2136,184
2026-08-18 14:00,YouTube,6bTVSN7BMSs,Russin Oficial,2895,476,
2026-08-18 14:00,YouTube,2eV18yfJgxo,Kaka,42695,1999,
2026-08-18 14:00,Instagram,DcEKaCkvomn,Kaka,73730,1942,57
2026-08-18 14:00,YouTube,CyQJAc-LSWk,Casa Saturno,8397,958,
2026-08-18 14:00,YouTube,SO_DMKU7XTg,Kysha e Mine,12938,686,
2026-08-18 14:00,Instagram,DcEHjvIDuKY,Casa Saturno,17963,1176,41
2026-08-18 14:00,YouTube,XfXsNK8BEl4,Casa Saturno,5554,670,
2026-08-18 14:00,Instagram,DcD9YTlR9gs,Casa Saturno,22820,1523,61
2026-08-18 14:00,YouTube,_h7FdZbgF2A,Kaka,81498,2150,
2026-08-18 14:00,YouTube,9NKbjDH5Cfs,Fidelisx,18782,1764,
2026-08-18 14:00,Instagram,DcCrYXLvZui,Kaka,35810,2358,105
2026-08-18 14:00,YouTube,d9nuCFq53w8,Kysha e Mine,41803,3465,
2026-08-18 14:00,Instagram,DcCgm7QufiZ,Argentino,19659,1344,20
2026-08-18 14:00,YouTube,jywrmWILlJw,Casa Saturno,8797,1121,
2026-08-18 14:00,YouTube,vCNcG8eDlmc,Russin Oficial,10885,471,
2026-08-18 14:00,YouTube,f33jieTUQ4M,Kaka,642256,11317,
2026-08-18 14:00,Instagram,DcCW1zVJWQm,Kaka,182869,5318,77
2026-08-18 14:00,Instagram,DcCW1zVJWQm,Casa Saturno,182854,5316,77
2026-08-18 14:00,Instagram,DcCR2Q8pso7,Russin Oficial,28397,472,16
2026-08-18 14:00,YouTube,-wzL5tO1MjI,Kaka,1655,153,
2026-08-18 14:00,YouTube,yMBa-IbQXRg,Russin Oficial,33387,956,
2026-08-18 14:00,YouTube,Ps3IjliqX5E,Kysha e Mine,28699,1491,
2026-08-18 14:00,YouTube,6uDsEXfGW4A,Evy Baddie,10311,1329,
2026-08-18 14:00,Instagram,DcCOsWHRWTS,Kysha e Mine,165413,3420,134
2026-08-18 14:00,Instagram,DcCOsGvRSTn,Evy Baddie,109125,2252,276
2026-08-18 14:00,Instagram,DcCOsGvRSTn,Casa Saturno,109125,2252,276
2026-08-18 14:00,Instagram,DcCOsWHRWTS,Casa Saturno,165409,3420,134
2026-08-18 14:00,YouTube,ulvKWMu0hN4,Kysha e Mine,57532,3961,
2026-08-18 14:00,YouTube,4qQ10lxvxuo,Fidelisx,81510,3541,
2026-08-18 14:00,YouTube,crrIvWcKuQY,Argentino,33172,1961,
2026-08-18 14:00,Instagram,DcB5v4tOeAX,Argentino,53988,1905,77
2026-08-18 14:00,YouTube,-irYWWc5XJQ,Russin Oficial,15075,674,
2026-08-18 14:00,Instagram,DcBzK4iiWUB,Casa Saturno,9828,364,10
2026-08-18 14:00,YouTube,tCcnkL50i9Y,Casa Saturno,34697,1569,
2026-08-18 14:00,Instagram,DcBlew0SAAk,Kaka,71864,2275,79
2026-08-18 14:00,YouTube,9nXV5N591XY,Kaka,159002,3652,
2026-08-18 14:00,YouTube,nxCL-h4DIO0,Casa Saturno,20988,1772,
