Artista,Plataforma,Handle,ID técnico,URL,Monitorar?
Kysha e Mine,YouTube,@KyshaeMine,UCUSDfgebJ6aP7DhDMJbpd5A,https://www.youtube.com/@KyshaeMine,Sim
Kysha e Mine,Instagram,@kyshaeminee,62479233917,https://www.instagram.com/kyshaeminee/,Sim
Kysha e Mine,TikTok,@kyshaeminee,—,https://www.tiktok.com/@kyshaeminee,Sim
Kysha,Instagram,@oikysha,4371696799,https://www.instagram.com/oikysha/,Sim
Kysha,TikTok,@oikysha,—,https://www.tiktok.com/@oikysha,Sim
Mine,Instagram,@aminequerida,(uid salvo na rotina),https://www.instagram.com/aminequerida/,Sim
Mine,TikTok,@aminequerida_,—,https://www.tiktok.com/@aminequerida_,Sim
Evy Baddie,YouTube,@evybaddie,UCvfkCw7ar3l1-o3kmRITLQw,https://www.youtube.com/@evybaddie,Sim
Evy Baddie,Instagram,@evybaddiee,7959333484,https://www.instagram.com/evybaddiee/,Sim
Evy Baddie,TikTok,@evybaddiee,—,https://www.tiktok.com/@evybaddiee,Sim
Fidelisx,YouTube,@oifidelisx,UClGmbOjJO6HRzCaL3oOKaqw,https://www.youtube.com/@oifidelisx,Sim
Fidelisx,Instagram,@oifidelisx,(uid salvo na rotina),https://www.instagram.com/oifidelisx/,Sim
Fidelisx,TikTok,@oifidelisx,—,https://www.tiktok.com/@oifidelisx,Sim
Russin Oficial,YouTube,@Orussindomolejo,UCBSTYjpJULekYK3AzZAPN5Q,https://www.youtube.com/@Orussindomolejo,Sim
Russin Oficial,Instagram,@russinmolejo,(uid salvo na rotina),https://www.instagram.com/russinmolejo/,Sim
Russin Oficial,TikTok,@orussindomolejo,—,https://www.tiktok.com/@orussindomolejo,Sim
Argentino,YouTube,@Oiargentinoo,UCW9uCmvWP4LEAlhAO7p-VcQ,https://www.youtube.com/@Oiargentinoo,Sim
Argentino,Instagram,@oiargentino,(uid salvo na rotina),https://www.instagram.com/oiargentino/,Sim
Argentino,TikTok,@oiargentino_,—,https://www.tiktok.com/@oiargentino_,Sim
Kaka,YouTube,Oiikaka__,UCj9qVW6LQmkek6YP8-7Wk4w,https://www.youtube.com/channel/UCj9qVW6LQmkek6YP8-7Wk4w,Sim
Kaka,Instagram,@reservaoikaka,(uid salvo na rotina),https://www.instagram.com/reservaoikaka/,Sim
Kaka,TikTok,@oiikaka__,—,https://www.tiktok.com/@oiikaka__,Sim
Casa Saturno,YouTube,@acasasaturno,UCjgp49O6V2t9k8iJ4YrO7dA,https://www.youtube.com/@acasasaturno,Sim
Casa Saturno,Instagram,@acasasaturno,53604685830,https://www.instagram.com/acasasaturno/,Sim
Casa Saturno,TikTok,@acasasaturno,—,https://www.tiktok.com/@acasasaturno,Sim
